neighbors,dot,wall,loop,manhatan,path,panic_dist,wall_rate,depth,randomes,probability,Average,Max,Min,WinRate,Time
2,7,2,3,5,7,1,0.1,8,True,0.7,267.0,396,133,0.0,0.7211512958999947
2,7,2,3,5,10,1,0.1,3,True,0.7,383.1,630,95,0.0,0.009139620899998136
2,7,2,3,5,10,1,0.1,5,True,0.7,279.9,757,36,0.0,0.05383063749999906
2,7,2,3,5,10,1,0.1,8,True,0.7,327.8,709,80,0.0,1.3055774208000002
2,7,2,3,9,3,1,0.1,3,True,0.7,404.2,773,64,0.0,0.013392649999997275
2,7,2,3,9,3,1,0.1,5,True,0.7,422.2,832,87,0.0,0.08797704579999958
2,7,2,3,9,3,1,0.1,8,True,0.7,407.0,625,155,0.0,1.3272066959000028
2,7,2,3,9,7,1,0.1,3,True,0.7,472.4,683,197,0.0,0.011467599999997446
2,7,2,3,9,7,1,0.1,5,True,0.7,420.9,837,13,0.0,0.0720575542000006
2,7,2,3,9,7,1,0.1,8,True,0.7,355.4,704,47,0.0,1.0794887916999982
2,7,2,3,9,10,1,0.1,3,True,0.7,427.4,857,37,0.0,0.011193195800001377
2,7,2,3,9,10,1,0.1,5,True,0.7,348.9,677,71,0.0,0.052335637499999164
2,7,2,3,9,10,1,0.1,8,True,0.7,315.9,632,31,0.0,0.9449515540999982
2,7,2,3,15,3,1,0.1,3,True,0.7,513.9,851,216,0.0,0.015251304199995274
2,7,2,3,15,3,1,0.1,5,True,0.7,488.4,756,207,0.0,0.08830116670000052
2,7,2,3,15,3,1,0.1,8,True,0.7,252.2,582,54,0.0,0.7061586917
2,7,2,3,15,7,1,0.1,3,True,0.7,397.9,687,105,0.0,0.009204645899995968
2,7,2,3,15,7,1,0.1,5,True,0.7,394.1,682,39,0.0,0.0656701833999989
2,7,2,3,15,7,1,0.1,8,True,0.7,299.4,637,31,0.0,0.8601359749999972
2,7,2,3,15,10,1,0.1,3,True,0.7,251.2,565,48,0.0,0.0047690292000027055
2,7,2,3,15,10,1,0.1,5,True,0.7,357.8,664,64,0.0,0.05456416659999945
2,7,2,3,15,10,1,0.1,8,True,0.7,310.5,688,39,0.0,0.8687964457999954
2,7,6,3,5,3,1,0.1,3,True,0.7,505.5,914,242,0.0,0.01884942909999836
2,7,6,3,5,3,1,0.1,5,True,0.7,350.4,789,109,0.0,0.06009017080000376
2,7,6,3,5,3,1,0.1,8,True,0.7,421.5,830,104,0.0,1.7288311417000046
2,7,6,3,5,7,1,0.1,3,True,0.7,384.0,792,55,0.0,0.009496537500001522
2,7,6,3,5,7,1,0.1,5,True,0.7,463.3,767,39,0.0,0.07747037500000716
2,7,6,3,5,7,1,0.1,8,True,0.7,355.4,613,72,0.0,1.0419686917000035
2,7,6,3,5,10,1,0.1,3,True,0.7,390.1,797,72,0.0,0.010520933399993737
2,7,6,3,5,10,1,0.1,5,True,0.7,329.7,702,68,0.0,0.05633903340000188
2,7,6,3,5,10,1,0.1,8,True,0.7,385.6,810,104,0.0,1.1988673500000004
2,7,6,3,9,3,1,0.1,3,True,0.7,442.6,738,109,0.0,0.010819695800000773
2,7,6,3,9,3,1,0.1,5,True,0.7,377.5,776,15,0.0,0.06345457080000187
2,7,6,3,9,3,1,0.1,8,True,0.7,371.8,774,24,0.0,1.2471686125000019
2,7,6,3,9,7,1,0.1,3,True,0.7,369.2,801,32,0.0,0.008660612500000298
2,7,6,3,9,7,1,0.1,5,True,0.7,432.7,753,32,0.0,0.08303666250000105
2,7,6,3,9,7,1,0.1,8,True,0.7,487.3,753,265,0.0,1.9588935291999974
2,7,6,3,9,10,1,0.1,3,True,0.7,551.6,875,206,0.0,0.01321351249999907
